project_key,mp_name_canonical,work_clean,category,state,constituency,ida,block,village,locality,duplicate_location,duplicate_location_key,recommended_date,allocation_amount_numeric,model_risk_level,model_risk_score,model_duplicate_score,model_financial_score,model_split_sanction_score,model_pending_score,same_work_same_locality_count,same_work_same_duplicate_location_count,same_work_same_block_count,same_work_same_constituency_count,same_category_same_locality_count,same_category_same_block_count,same_category_same_constituency_count,same_mp_category_locality_count,same_ida_category_locality_count,same_type_location_month_count,location_duplicate_group_count,same_ida_locality_7day_sub5l_count,same_mp_locality_7day_sub5l_count,same_ida_same_day_count,amount_vs_category_median_ratio,amount_vs_state_category_median_ratio,amount_vs_constituency_category_median_ratio,is_near_5_lakh,status,ida_approval,model_reasons,manual_review_label,manual_review_notes,recommended_action,review_source
dbf48659e0bb6f56,Y S Avinash Reddy,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Andhra Pradesh,KADAPA,DISTRICT COLLECTOR CUDDAPAH_IDA,Proddatur,Kothapalle,"Proddatur, Kothapalle",Kothapalle,kothapalle,2023-09-20,2000000,YELLOW,65.0,100,100.0,0,0,2,2,4,10,3,4,24,2,2,2,2,0,0,6,5.0,4.0,4.2553,false,Unsanctioned,Approved by IDA,Repeated or similar-category work appears in the same locality | Allocation amount is high compared with trained category/state or constituency distribution,unsure,Two risk signals are active; needs supporting documents or locality confirmation.,secondary_review,ai_assisted_first_pass
0f1fd63889cfc44f,Venkataramana Rao Mopidevi,Construction of additional rooms and halls in the existing public and community building,Normal/Others,Andhra Pradesh,SITTING RAJYA SABHA,DISTRICT COLLECTOR BAPATLA_IDA,,,"Repalle, 22",Repalle,repalle_22,2023-11-24,1750000,YELLOW,65.0,100,100.0,0,0,2,2,0,34,2,0,2643,2,2,2,1,0,0,4,4.375,3.5,3.5714,false,Unsanctioned,Approved by IDA,Repeated or similar-category work appears in the same locality | Allocation amount is high compared with trained category/state or constituency distribution,unsure,Two risk signals are active; needs supporting documents or locality confirmation.,secondary_review,ai_assisted_first_pass
a156f3408781bee8,Mvvv Satyanarayana,Construction of community centers and community halls,Normal/Others,Andhra Pradesh,VISAKHAPATNAM,DISTRICT COLLECTOR VISAKHAPATNAM_IDA,,,"Visakhapatnam, 19TH WARD",Visakhapatnam,visakhapatnam_19th_ward,2023-08-18,2285000,YELLOW,65.0,100,100.0,0,0,2,2,0,8,3,0,12,3,3,3,1,0,0,3,5.7125,4.57,1.7611,false,Unsanctioned,Approved by IDA,Repeated or similar-category work appears in the same locality | Allocation amount is high compared with trained category/state or constituency distribution,unsure,Two risk signals are active; needs supporting documents or locality confirmation.,secondary_review,ai_assisted_first_pass
668d4d6211f9fb4b,Sudhanshu Trivedi,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Uttar Pradesh,SITTING RAJYA SABHA,DISTRICT MAGISTRAE LUCKNOW_IDA,,,"Lucknow, 92, Shankarpurwa-I, Ward, Lucknow",Lucknow,lucknow_92_shankarpurwa_i_ward_lucknow,2023-10-17,1232000,YELLOW,65.0,100,100.0,0,0,2,2,0,482,2,0,2643,2,2,2,1,0,0,8,3.08,5.4878,2.5143,false,Unsanctioned,Approved by IDA,Repeated or similar-category work appears in the same locality | Allocation amount is high compared with trained category/state or constituency distribution,unsure,Two risk signals are active; needs supporting documents or locality confirmation.,secondary_review,ai_assisted_first_pass
a1009c522e46c022,Pocha Brahmananda Reddy,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Andhra Pradesh,NANDYAL,DISTRICT COLLECTOR NANDYAL_IDA,Uyyalawada,Uyyalawada,"Uyyalawada, Uyyalawada",Uyyalawada,uyyalawada,2023-11-25,1700000,YELLOW,65.0,100,100.0,0,0,2,2,2,15,3,2,28,2,2,2,1,0,0,2,4.25,3.4,3.4,false,Unsanctioned,Approved by IDA,Repeated or similar-category work appears in the same locality | Allocation amount is high compared with trained category/state or constituency distribution,unsure,Two risk signals are active; needs supporting documents or locality confirmation.,secondary_review,ai_assisted_first_pass
544641de37cb01ee,Harnath Singh Yadav,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,Uttar Pradesh,SITTING RAJYA SABHA,DISTRICT MAGISTRATE MAINPURI_IDA,Kuraoli,E.Sari,"Kuraoli, E.Sari",E.Sari,e_sari,2023-09-02,2138000,YELLOW,65.0,100,100.0,0,0,2,2,3,154,2,4,2643,2,2,2,1,0,0,8,5.345,9.5234,4.3633,false,Unsanctioned,Approved by IDA,Repeated or similar-category work appears in the same locality | Allocation amount is high compared with trained category/state or constituency distribution,unsure,Two risk signals are active; needs supporting documents or locality confirmation.,secondary_review,ai_assisted_first_pass
baaa732e0166efc5,R Dharmar,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Tamil Nadu,SITTING RAJYA SABHA,DISTRICT COLLECTOR TENKASI_IDA,Keelapavoor,Andipatti,"Keelapavoor, Andipatti",Andipatti,andipatti,2023-10-17,2500000,YELLOW,65.0,100,100.0,0,0,2,3,2,482,3,2,2643,2,2,2,2,0,0,6,6.25,5.0,5.102,false,Completed,Approved by IDA,Repeated or similar-category work appears in the same locality | Allocation amount is high compared with trained category/state or constituency distribution,unsure,Two risk signals are active; needs supporting documents or locality confirmation.,secondary_review,ai_assisted_first_pass
a7aef7c2578c11e5,Nandigam Suresh,Street lights,Normal/Others,Andhra Pradesh,BAPATLA,DISTRICT COLLECTOR BAPATLA_IDA,Karlapalem,Karlapalem,"Karlapalem, Karlapalem",Karlapalem,karlapalem,2023-11-10,2357236,YELLOW,65.0,100,100.0,0,0,2,2,2,4,4,5,25,2,4,2,2,0,0,4,5.8931,4.7145,4.7145,false,Unsanctioned,Approved by IDA,Repeated or similar-category work appears in the same locality | Allocation amount is high compared with trained category/state or constituency distribution,unsure,Two risk signals are active; needs supporting documents or locality confirmation.,secondary_review,ai_assisted_first_pass
f7d724f5a9c1928d,Masthan Rao Beeda,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Andhra Pradesh,SITTING RAJYA SABHA,DISTRICT COLLECTOR NELLORE_IDA,Allur,Gogulapalle,"Allur, Gogulapalle",Gogulapalle,gogulapalle,2023-08-31,1850000,YELLOW,65.0,100,100.0,0,0,2,2,3,482,3,5,2643,2,3,2,1,0,0,2,4.625,3.7,3.7755,false,Unsanctioned,Approved by IDA,Repeated or similar-category work appears in the same locality | Allocation amount is high compared with trained category/state or constituency distribution,unsure,Two risk signals are active; needs supporting documents or locality confirmation.,secondary_review,ai_assisted_first_pass
d81295b91bf6e424,Masthan Rao Beeda,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Andhra Pradesh,SITTING RAJYA SABHA,DISTRICT COLLECTOR NELLORE_IDA,Allur,Gogulapalle,"Allur, Gogulapalle",Gogulapalle,gogulapalle,2023-08-31,1800000,YELLOW,65.0,100,100.0,0,0,2,2,3,482,3,5,2643,2,3,2,1,0,0,2,4.5,3.6,3.6735,false,Unsanctioned,Approved by IDA,Repeated or similar-category work appears in the same locality | Allocation amount is high compared with trained category/state or constituency distribution,unsure,Two risk signals are active; needs supporting documents or locality confirmation.,secondary_review,ai_assisted_first_pass
